2546001,1/1/2016,14633,Cr
2546001,1/1/2016,2492,Dr
2546001,2/1/2016,839,Dr
2546001,3/1/2016,731,Dr
2546001,4/1/2016,1365,Dr
2546001,6/1/2016,219,Dr
2546001,7/1/2016,8900,Cr
2546001,8/1/2016,16700,Cr
2546001,13/1/2016,5977,Dr
2546001,15/1/2016,6893,Dr
2546001,17/1/2016,1673,Dr
2546001,18/1/2016,3530,Dr
2546001,19/1/2016,1039,Dr
2546001,21/1/2016,1314,Dr
2546001,22/1/2016,6500,Cr
2546001,23/1/2016,4206,Dr
2546001,28/1/2016,450,Dr
2546001,29/1/2016,1936,Dr
2546001,30/1/2016,4800,Cr
2546001,31/1/2016,3211,Dr
2546001,1/2/2016,14633,Cr
2546001,1/2/2016,727,Dr
2546001,2/2/2016,7372,Dr
2546001,3/2/2016,719,Dr
2546001,4/2/2016,3375,Dr
2546001,5/2/2016,1860,Dr
2546001,6/2/2016,1608,Dr
2546001,7/2/2016,279,Dr
2546001,8/2/2016,9500,Cr
2546001,10/2/2016,4180,Dr
2546001,12/2/2016,15700,Cr
2546001,14/2/2016,3458,Dr
2546001,15/2/2016,3493,Dr
2546001,16/2/2016,3825,Dr
2546001,17/2/2016,1199,Dr
2546001,18/2/2016,567,Dr
2546001,19/2/2016,3263,Dr
2546001,23/2/2016,1200,Cr
2546001,24/2/2016,6000,Cr
2546001,25/2/2016,5364,Dr
2546001,27/2/2016,1200,Cr
2546001,28/2/2016,3953,Dr
2546001,29/2/2016,1640,Dr
2546001,1/3/2016,14633,Cr
2546001,1/3/2016,4876,Dr
2546001,3/3/2016,1772,Dr
2546001,4/3/2016,1824,Dr
2546001,6/3/2016,4350,Dr
2546001,7/3/2016,2797,Dr
2546001,8/3/2016,3622,Dr
2546001,9/3/2016,1037,Dr
2546001,11/3/2016,676,Dr
2546001,14/3/2016,1148,Dr
2546001,15/3/2016,1704,Dr
2546001,16/3/2016,934,Dr
2546001,18/3/2016,19200,Cr
2546001,19/3/2016,15000,Cr
2546001,20/3/2016,9659,Dr
2546001,23/3/2016,11400,Cr
2546001,24/3/2016,2925,Dr
2546001,26/3/2016,1776,Dr
2546001,27/3/2016,9292,Dr
2546001,30/3/2016,14200,Cr
2546001,1/4/2016,14633,Cr
2546001,1/4/2016,10042,Dr
2546001,2/4/2016,5294,Dr
2546001,4/4/2016,10130,Dr
2546001,5/4/2016,5466,Dr
2546001,6/4/2016,2072,Dr
2546001,8/4/2016,14300,Cr
2546001,10/4/2016,9091,Dr
2546001,11/4/2016,7263,Dr
2546001,12/4/2016,2334,Dr
2546001,13/4/2016,865,Dr
2546001,18/4/2016,3370,Dr
2546001,19/4/2016,1715,Dr
2546001,21/4/2016,11800,Cr
2546001,23/4/2016,173,Dr
2546001,25/4/2016,2592,Dr
2546001,27/4/2016,3442,Dr
2546001,28/4/2016,2607,Dr
2546001,29/4/2016,3108,Dr
2546001,30/4/2016,638,Dr
2546001,1/5/2016,14633,Cr
2546001,1/5/2016,2923,Dr
2546001,2/5/2016,3597,Dr
2546001,3/5/2016,4935,Dr
2546001,5/5/2016,2623,Dr
2546001,6/5/2016,968,Dr
2546001,8/5/2016,1464,Dr
2546001,9/5/2016,475,Dr
2546001,10/5/2016,468,Dr
2546001,11/5/2016,572,Dr
2546001,14/5/2016,515,Dr
2546001,16/5/2016,339,Dr
2546001,18/5/2016,988,Dr
2546001,19/5/2016,8900,Cr
2546001,20/5/2016,2454,Dr
2546001,21/5/2016,4800,Cr
2546001,22/5/2016,720,Dr
2546001,26/5/2016,925,Dr
2546001,27/5/2016,1214,Dr
2546001,28/5/2016,4137,Dr
2546001,29/5/2016,2135,Dr
2546001,1/6/2016,14633,Cr
2546001,2/6/2016,2941,Dr
2546001,3/6/2016,516,Dr
2546001,4/6/2016,2824,Dr
2546001,5/6/2016,2766,Dr
2546001,6/6/2016,1734,Dr
2546001,7/6/2016,2398,Dr
2546001,9/6/2016,2360,Dr
2546001,10/6/2016,1929,Dr
2546001,11/6/2016,1602,Dr
2546001,13/6/2016,771,Dr
2546001,14/6/2016,679,Dr
2546001,15/6/2016,997,Dr
2546001,16/6/2016,235,Dr
2546001,17/6/2016,685,Dr
2546001,18/6/2016,284,Dr
2546001,19/6/2016,470,Dr
2546001,20/6/2016,131,Dr
2546001,22/6/2016,108,Dr
2546001,23/6/2016,6000,Cr
2546001,25/6/2016,1072,Dr
2546001,26/6/2016,1491,Dr
2546001,27/6/2016,2600,Cr
2546001,28/6/2016,501,Dr
2546001,1/7/2016,14633,Cr
2546001,1/7/2016,19800,Cr
2546001,3/7/2016,448,Dr
2546001,4/7/2016,967,Dr
2546001,10/7/2016,3124,Dr
2546001,13/7/2016,2601,Dr
2546001,14/7/2016,2239,Dr
2546001,15/7/2016,6826,Dr
2546001,17/7/2016,19600,Cr
2546001,18/7/2016,17100,Cr
2546001,20/7/2016,2712,Dr
2546001,21/7/2016,11100,Cr
2546001,23/7/2016,15002,Dr
2546001,24/7/2016,9440,Dr
2546001,25/7/2016,4042,Dr
2546001,26/7/2016,1311,Dr
2546001,27/7/2016,3579,Dr
2546001,28/7/2016,4166,Dr
2546001,29/7/2016,1033,Dr
2546001,31/7/2016,5357,Dr
2546001,1/8/2016,14633,Cr
2546001,1/8/2016,3640,Dr
2546001,2/8/2016,4581,Dr
2546001,3/8/2016,4468,Dr
2546001,4/8/2016,6930,Dr
2546001,6/8/2016,3732,Dr
2546001,7/8/2016,808,Dr
2546001,9/8/2016,167,Dr
2546001,11/8/2016,2796,Dr
2546001,13/8/2016,3473,Dr
2546001,14/8/2016,2375,Dr
2546001,15/8/2016,984,Dr
2546001,16/8/2016,710,Dr
2546001,17/8/2016,11300,Cr
2546001,18/8/2016,1942,Dr
2546001,19/8/2016,1263,Dr
2546001,20/8/2016,833,Dr
2546001,21/8/2016,2093,Dr
2546001,22/8/2016,2588,Dr
2546001,23/8/2016,1075,Dr
2546001,25/8/2016,1488,Dr
2546001,27/8/2016,1182,Dr
2546001,31/8/2016,587,Dr
2546001,1/9/2016,14633,Cr
2546001,1/9/2016,18900,Cr
2546001,2/9/2016,7812,Dr
2546001,4/9/2016,1377,Dr
2546001,5/9/2016,4260,Dr
2546001,6/9/2016,16300,Cr
2546001,7/9/2016,5400,Cr
2546001,9/9/2016,4427,Dr
2546001,11/9/2016,8396,Dr
2546001,12/9/2016,268,Dr
2546001,14/9/2016,3481,Dr
2546001,15/9/2016,1000,Cr
2546001,16/9/2016,7115,Dr
2546001,18/9/2016,997,Dr
2546001,19/9/2016,3977,Dr
2546001,20/9/2016,3132,Dr
2546001,21/9/2016,2739,Dr
2546001,22/9/2016,1566,Dr
2546001,25/9/2016,261,Dr
2546001,26/9/2016,16400,Cr
2546001,27/9/2016,3705,Dr
2546001,30/9/2016,2322,Dr
2546001,1/10/2016,14633,Cr
2546001,2/10/2016,783,Dr
2546001,4/10/2016,3796,Dr
2546001,5/10/2016,4404,Dr
2546001,7/10/2016,4962,Dr
2546001,9/10/2016,4159,Dr
2546001,11/10/2016,3454,Dr
2546001,13/10/2016,112,Dr
2546001,14/10/2016,194,Dr
2546001,15/10/2016,2287,Dr
2546001,16/10/2016,107,Dr
2546001,18/10/2016,11600,Cr
2546001,19/10/2016,5083,Dr
2546001,20/10/2016,3808,Dr
2546001,22/10/2016,663,Dr
2546001,24/10/2016,2163,Dr
2546001,25/10/2016,793,Dr
2546001,26/10/2016,312,Dr
2546001,27/10/2016,2341,Dr
2546001,28/10/2016,1430,Dr
2546001,29/10/2016,448,Dr
2546001,31/10/2016,644,Dr
2546001,1/11/2016,14633,Cr
2546001,1/11/2016,5011,Dr
2546001,3/11/2016,2474,Dr
2546001,4/11/2016,3166,Dr
2546001,5/11/2016,1681,Dr
2546001,6/11/2016,726,Dr
2546001,7/11/2016,971,Dr
2546001,8/11/2016,1262,Dr
2546001,9/11/2016,1071,Dr
2546001,10/11/2016,243,Dr
2546001,12/11/2016,662,Dr
2546001,15/11/2016,385,Dr
2546001,17/11/2016,1200,Cr
2546001,18/11/2016,779,Dr
2546001,20/11/2016,12700,Cr
2546001,22/11/2016,1732,Dr
2546001,23/11/2016,1541,Dr
2546001,27/11/2016,5100,Cr
2546001,28/11/2016,3491,Dr
2546001,29/11/2016,1971,Dr
2546001,1/12/2016,14633,Cr
2546001,1/12/2016,1024,Dr
2546001,2/12/2016,6162,Dr
2546001,5/12/2016,4091,Dr
2546001,6/12/2016,3846,Dr
2546001,8/12/2016,2785,Dr
2546001,9/12/2016,1056,Dr
2546001,10/12/2016,445,Dr
2546001,11/12/2016,705,Dr
2546001,12/12/2016,467,Dr
2546001,15/12/2016,152,Dr
2546001,16/12/2016,1341,Dr
2546001,18/12/2016,274,Dr
2546001,20/12/2016,306,Dr
2546001,21/12/2016,17100,Cr
2546001,22/12/2016,3179,Dr
2546001,25/12/2016,4014,Dr
2546001,26/12/2016,355,Dr
2546001,27/12/2016,1441,Dr
2546001,28/12/2016,2674,Dr
2546001,29/12/2016,1722,Dr
2546001,30/12/2016,433,Dr
2546001,1/1/2017,14633,Cr
2546001,1/1/2017,5181,Dr
2546001,2/1/2017,2220,Dr
2546001,5/1/2017,6600,Cr
2546001,6/1/2017,2814,Dr
2546001,7/1/2017,4171,Dr
